season,week,posteam,qb_actual,primary_qb,attempts,category,notes
2022,11,ARI,C.McCoy,K.Murray,37,injury,"Murray still out, McCoy starting"
2022,12,CAR,S.Darnold,B.Mayfield,19,benched,Darnold now starting
2022,12,CHI,T.Siemian,J.Fields,27,injury,"Fields injured, Siemian started"
2022,12,HOU,K.Allen,D.Mills,45,benched,"Mills benched, K Allen started"
2022,12,LA,B.Perkins,M.Stafford,26,injury,"Stafford still out, Perkins started"
2022,12,NYJ,M.White,Z.Wilson,29,benched,"Wilson benched, White took over"
2022,13,BAL,T.Huntley,L.Jackson,34,injury,"Jackson injured wk 13, Huntley started"
2022,13,CLE,D.Watson,J.Brissett,23,returning,"Watson returning from suspension, Brissett had been starter"
2022,13,HOU,K.Allen,D.Mills,40,benched,K Allen continuing
2022,13,LA,J.Wolford,M.Stafford,30,injury,"Stafford still out, Wolford returned"
2022,13,NYJ,M.White,Z.Wilson,58,benched,White continuing
2022,13,SF,B.Purdy,J.Garoppolo,40,returning,Purdy entered after Lance/Garoppolo both injured; Purdy became starter
2022,14,ARI,C.McCoy,K.Murray,46,injury,"Murray still out, McCoy starting"
2022,14,BAL,T.Huntley,L.Jackson,13,injury,"Jackson still out, Huntley started"
2022,14,CAR,S.Darnold,B.Mayfield,26,benched,Darnold continuing
2022,14,CLE,D.Watson,J.Brissett,44,returning,Watson continuing after return
2022,14,LA,B.Mayfield,M.Stafford,39,returning,Mayfield signed and started; Stafford still injured
2022,14,NYJ,M.White,Z.Wilson,47,benched,White continuing
2022,14,PIT,M.Trubisky,K.Pickett,31,injury,"Pickett injured, Trubisky filled in"
2022,14,SF,B.Purdy,J.Garoppolo,21,returning,Purdy won starting job
2022,15,ARI,C.McCoy,K.Murray,23,injury,"Murray still out, McCoy starting"
2022,15,ATL,D.Ridder,M.Mariota,30,benched,"Mariota benched, Ridder took over"
2022,15,BAL,T.Huntley,L.Jackson,33,injury,"Jackson still out, Huntley started"
2022,15,CAR,S.Darnold,B.Mayfield,27,benched,Darnold continuing
2022,15,CLE,D.Watson,J.Brissett,31,returning,Watson continuing
2022,15,DEN,B.Rypien,R.Wilson,33,benched,Wilson benched for performance
2022,15,LA,B.Mayfield,M.Stafford,26,injury,Mayfield continuing as Stafford still out
2022,15,PIT,M.Trubisky,K.Pickett,23,injury,"Pickett injured, Trubisky filled in"
2022,15,SF,B.Purdy,J.Garoppolo,27,returning,Purdy continuing as starter
2022,16,ARI,T.McSorley,K.Murray,46,injury,"Murray still out, McSorley starting"
2022,16,ATL,D.Ridder,M.Mariota,35,benched,Ridder continuing
2022,16,BAL,T.Huntley,L.Jackson,17,injury,"Jackson still out, Huntley started"
2022,16,CAR,S.Darnold,B.Mayfield,22,benched,Darnold continuing
2022,16,CLE,D.Watson,J.Brissett,33,returning,Watson continuing
2022,16,IND,N.Foles,M.Ryan,36,injury,"Ehlinger benched/injured, Foles finished"
2022,16,LA,B.Mayfield,M.Stafford,28,injury,Mayfield continuing
2022,16,PHI,G.Minshew,J.Hurts,40,rest,"Hurts rested, Minshew started"
2022,16,SF,B.Purdy,J.Garoppolo,25,returning,Purdy continuing as starter
2022,16,TEN,M.Willis,R.Tannehill,27,injury,"Tannehill injured again, Willis filled in"
2022,17,ARI,D.Blough,K.Murray,42,rest,"Season over, Blough started"
2022,17,ATL,D.Ridder,M.Mariota,27,benched,Ridder continuing
2022,17,BAL,T.Huntley,L.Jackson,22,rest,Jackson rested wk 17
2022,17,CAR,S.Darnold,B.Mayfield,39,benched,Darnold continuing
2022,17,CLE,D.Watson,J.Brissett,23,returning,Watson continuing
2022,17,IND,S.Ehlinger,M.Ryan,15,rest,Ehlinger back but season over
2022,17,LA,B.Mayfield,M.Stafford,22,injury,Mayfield continuing
2022,17,LV,J.Stidham,D.Carr,34,benched,Carr benched for final 2 games after team announced his release
2022,17,MIA,S.Thompson,T.Tagovailoa,22,injury,"Tua injured wk 15, Thompson finished season"
2022,17,NYJ,M.White,Z.Wilson,50,returning,Wilson returned to starting role
2022,17,PHI,G.Minshew,J.Hurts,38,rest,"Hurts rested/managed, Minshew started"
2022,17,SF,B.Purdy,J.Garoppolo,35,returning,Purdy continuing as starter
2022,17,TEN,J.Dobbs,R.Tannehill,41,rest,"Season meaningless, Dobbs started"
2022,17,WAS,C.Wentz,T.Heinicke,31,rest,"Late season, Washington out of contention"
2022,18,ARI,D.Blough,K.Murray,21,rest,Season finale
2022,18,ATL,D.Ridder,M.Mariota,32,rest,Season finale
2022,18,BAL,A.Brown,L.Jackson,48,rest,Season finale
2022,18,CAR,S.Darnold,B.Mayfield,17,rest,Season finale
2022,18,CHI,N.Peterman,J.Fields,20,rest,Season finale
2022,18,CLE,D.Watson,J.Brissett,36,rest,Season finale
2022,18,IND,S.Ehlinger,M.Ryan,37,rest,Season finale
2022,18,LA,B.Mayfield,M.Stafford,31,rest,Season finale
2022,18,LV,J.Stidham,D.Carr,42,rest,Season finale
2022,18,MIA,S.Thompson,T.Tagovailoa,32,rest,Season finale
2022,18,NYG,D.Webb,D.Jones,41,rest,Season finale
2022,18,NYJ,J.Flacco,Z.Wilson,33,rest,Season finale
2022,18,SF,B.Purdy,J.Garoppolo,24,rest,Season finale
2022,18,TEN,J.Dobbs,R.Tannehill,33,rest,Season finale
2022,18,WAS,S.Howell,T.Heinicke,22,rest,Season finale
2023,1,IND,A.Richardson,G.Minshew,41,returning,Richardson was named starter wk 1; Minshew was holding job — Richardson is primary
2023,1,LV,J.Garoppolo,A.O'Connell,26,returning,Garoppolo named starter; O'Connell won job later in season
2023,1,NYG,D.Jones,T.DeVito,35,controversy,Jones was starter; DeVito won job later — Jones is listed primary by games
2023,2,LV,J.Garoppolo,A.O'Connell,24,returning,Garoppolo continuing as starter
2023,2,NYG,D.Jones,T.DeVito,40,controversy,Jones continuing as starter
2023,3,CAR,A.Dalton,B.Young,61,controversy,Young was rookie starter; Dalton took over after Young benched
2023,3,LV,J.Garoppolo,A.O'Connell,49,returning,Garoppolo continuing
2023,3,NYG,D.Jones,T.DeVito,35,controversy,Jones continuing
2023,4,CLE,D.Thompson-Robinson,D.Watson,40,injury,"Watson injured, Thompson-Robinson started"
2023,4,IND,A.Richardson,G.Minshew,29,injury,"Richardson injured, Minshew took over for several weeks"
2023,4,NYG,D.Jones,T.DeVito,44,controversy,Jones continuing
2023,5,LV,J.Garoppolo,A.O'Connell,34,returning,Garoppolo returning from injury wk 5
2023,5,NYG,D.Jones,T.DeVito,26,controversy,Jones continuing
2023,6,CHI,T.Bagent,J.Fields,15,injury,"Fields injured, Bagent started"
2023,6,CLE,P.Walker,D.Watson,36,injury,"Watson injured again, Walker/Thompson-Robinson started"
2023,6,LV,J.Garoppolo,A.O'Connell,22,returning,Garoppolo continuing
2023,6,NYG,T.Taylor,T.DeVito,39,injury,"Jones injured, Taylor/DeVito filled in"
2023,7,CHI,T.Bagent,J.Fields,30,injury,"Fields still out, Bagent starting"
2023,7,CLE,P.Walker,D.Watson,34,injury,"Watson still out, Walker starting"
2023,7,LV,B.Hoyer,A.O'Connell,33,injury,"Garoppolo injured wk 6, Hoyer stepped in"
2023,7,NYG,T.Taylor,T.DeVito,33,injury,"Jones still out, Taylor starting"
2023,8,ATL,T.Heinicke,D.Ridder,22,benched,"Ridder benched, Heinicke took over"
2023,8,CHI,T.Bagent,J.Fields,39,injury,Fields still out
2023,8,CLE,P.Walker,D.Watson,34,injury,Watson still out
2023,8,LV,J.Garoppolo,A.O'Connell,27,returning,Garoppolo returned wk 8
2023,8,NYG,T.Taylor,T.DeVito,9,injury,Jones still out
2023,8,PIT,M.Trubisky,K.Pickett,29,injury,"Pickett injured wk 8, Trubisky filled in"
2023,8,TEN,W.Levis,R.Tannehill,31,returning,Levis called up as rookie starter; Tannehill had been starter
2023,9,ARI,C.Tune,J.Dobbs,27,returning,"Murray returned from ACL, Dobbs had been starter"
2023,9,ATL,T.Heinicke,D.Ridder,39,benched,Heinicke continuing
2023,9,CHI,T.Bagent,J.Fields,32,injury,Fields still out
2023,9,LA,B.Rypien,M.Stafford,29,injury,"Stafford injured, Rypien started"
2023,9,MIN,J.Dobbs,K.Cousins,34,injury,"Cousins injured wk 8, Dobbs started"
2023,9,TEN,W.Levis,R.Tannehill,43,returning,Levis continuing as new starter
2023,10,ARI,K.Murray,J.Dobbs,35,returning,Murray continuing
2023,10,ATL,T.Heinicke,D.Ridder,18,benched,Heinicke continuing
2023,10,CHI,T.Bagent,J.Fields,33,injury,Fields still out
2023,10,MIN,J.Dobbs,K.Cousins,35,injury,"Cousins still out, Dobbs starting"
2023,10,NO,J.Winston,D.Carr,26,injury,"Carr injured, Winston started"
2023,10,TEN,W.Levis,R.Tannehill,43,returning,Levis continuing
2023,11,ARI,K.Murray,J.Dobbs,33,returning,Murray continuing
2023,11,CLE,D.Thompson-Robinson,D.Watson,44,injury,"Watson still out, Thompson-Robinson starting"
2023,11,MIN,J.Dobbs,K.Cousins,34,injury,"Cousins still out, Dobbs starting"
2023,11,TEN,W.Levis,R.Tannehill,19,returning,Levis continuing
2023,12,ARI,K.Murray,J.Dobbs,50,returning,Murray continuing
2023,12,CIN,J.Browning,J.Burrow,30,injury,"Burrow injured wk 11, Browning started"
2023,12,CLE,D.Thompson-Robinson,D.Watson,30,injury,Watson still out
2023,12,MIN,J.Dobbs,K.Cousins,34,injury,"Cousins still out, Dobbs starting"
2023,12,NYJ,T.Boyle,Z.Wilson,45,injury,"Wilson injured, Boyle/Siemian started"
2023,12,TEN,W.Levis,R.Tannehill,29,returning,Levis continuing
2023,13,ARI,K.Murray,J.Dobbs,25,returning,Murray continuing
2023,13,CIN,J.Browning,J.Burrow,39,injury,"Burrow still out, Browning starting"
2023,13,CLE,J.Flacco,D.Watson,46,returning,Flacco signed and took over as CLE starter rest of season
2023,13,NE,B.Zappe,M.Jones,30,benched,"Jones benched, Zappe took over"
2023,13,NYJ,T.Boyle,Z.Wilson,26,injury,Wilson still out
2023,13,PIT,M.Trubisky,K.Pickett,17,injury,"Pickett injured again, Trubisky/Rudolph in"
2023,13,TEN,W.Levis,R.Tannehill,39,returning,Levis continuing
2023,14,CIN,J.Browning,J.Burrow,24,injury,Burrow still out
2023,14,CLE,J.Flacco,D.Watson,46,returning,Flacco continuing as starter
2023,14,LAC,E.Stick,J.Herbert,26,injury,"Herbert injured, Stick started"
2023,14,MIN,J.Dobbs,K.Cousins,28,injury,"Cousins still out, Dobbs starting"
2023,14,NE,B.Zappe,M.Jones,30,benched,Zappe continuing
2023,14,PIT,M.Trubisky,K.Pickett,38,injury,"Pickett still out, Trubisky starting"
2023,14,SEA,D.Lock,G.Smith,36,benched,"Smith benched, Lock started"
2023,14,TEN,W.Levis,R.Tannehill,40,returning,Levis continuing
2023,15,ARI,K.Murray,J.Dobbs,43,returning,Murray continuing
2023,15,CIN,J.Browning,J.Burrow,46,injury,Burrow still out
2023,15,CLE,J.Flacco,D.Watson,48,returning,Flacco continuing
2023,15,HOU,C.Keenum,C.Stroud,39,injury,"Stroud injured, Keenum/Mills started"
2023,15,LAC,E.Stick,J.Herbert,35,injury,"Herbert still out, Stick starting"
2023,15,MIN,N.Mullens,K.Cousins,36,injury,"Cousins still out, Mullens starting"
2023,15,NE,B.Zappe,M.Jones,35,benched,Zappe continuing
2023,15,NYJ,T.Siemian,Z.Wilson,28,injury,"Wilson still out, Siemian starting"
2023,15,PIT,M.Trubisky,K.Pickett,26,injury,Pickett still out
2023,15,SEA,D.Lock,G.Smith,35,benched,Lock continuing
2023,15,TEN,W.Levis,R.Tannehill,33,returning,Levis continuing
2023,16,ARI,K.Murray,J.Dobbs,41,returning,Murray continuing
2023,16,ATL,T.Heinicke,D.Ridder,34,benched,Heinicke continuing
2023,16,CIN,J.Browning,J.Burrow,46,injury,Burrow still out
2023,16,CLE,J.Flacco,D.Watson,43,returning,Flacco continuing
2023,16,HOU,D.Mills,C.Stroud,33,injury,"Stroud still out, Mills starting"
2023,16,LAC,E.Stick,J.Herbert,38,injury,Herbert still out
2023,16,MIN,N.Mullens,K.Cousins,40,injury,"Cousins still out, Mullens starting"
2023,16,NE,B.Zappe,M.Jones,35,benched,Zappe continuing
2023,16,NYJ,T.Siemian,Z.Wilson,49,injury,Wilson still out
2023,16,PIT,M.Rudolph,K.Pickett,28,injury,"Pickett still out, Rudolph starting"
2023,17,ARI,K.Murray,J.Dobbs,33,returning,Murray continuing
2023,17,ATL,T.Heinicke,D.Ridder,31,benched,Heinicke continuing
2023,17,CIN,J.Browning,J.Burrow,39,injury,"Burrow still out, Browning finishing season"
2023,17,CLE,J.Flacco,D.Watson,30,returning,Flacco continuing
2023,17,DEN,J.Stidham,R.Wilson,34,benched,"Wilson benched, Stidham started"
2023,17,JAX,C.Beathard,T.Lawrence,27,rest,"Lawrence rested, Beathard started"
2023,17,LAC,E.Stick,J.Herbert,39,injury,Herbert still out
2023,17,MIN,N.Mullens,K.Cousins,23,injury,"Cousins still out, Mullens starting"
2023,17,NE,B.Zappe,M.Jones,29,benched,Zappe continuing
2023,17,NYG,T.Taylor,T.DeVito,48,injury,"DeVito injured, Taylor started"
2023,17,NYJ,T.Siemian,Z.Wilson,47,injury,Wilson still out
2023,17,PIT,M.Rudolph,K.Pickett,25,injury,"Pickett still out, Rudolph finishing"
2023,18,ARI,K.Murray,J.Dobbs,31,rest,Season finale
2023,18,BAL,T.Huntley,L.Jackson,32,rest,Season finale
2023,18,CIN,J.Browning,J.Burrow,26,rest,Season finale
2023,18,CLE,J.Driskel,D.Watson,29,rest,Season finale
2023,18,DEN,J.Stidham,R.Wilson,39,rest,Season finale
2023,18,KC,B.Gabbert,P.Mahomes,31,rest,Season finale
2023,18,LA,C.Wentz,M.Stafford,27,rest,Season finale
2023,18,LAC,E.Stick,J.Herbert,50,rest,Season finale
2023,18,MIN,N.Mullens,K.Cousins,48,rest,Season finale
2023,18,NE,B.Zappe,M.Jones,37,rest,Season finale
2023,18,NYG,T.Taylor,T.DeVito,33,rest,Season finale
2023,18,NYJ,T.Siemian,Z.Wilson,21,rest,Season finale
2023,18,PHI,M.Mariota,J.Hurts,23,rest,Season finale
2023,18,PIT,M.Rudolph,K.Pickett,23,rest,Season finale
2023,18,SF,S.Darnold,B.Purdy,29,rest,Season finale
2024,1,CLE,D.Watson,J.Winston,51,returning,Watson returning wk 1; Winston had been the starter
2024,1,DAL,D.Prescott,C.Rush,35,returning,Prescott returning wk 1; Rush was holding spot — actually Prescott is primary
2024,1,NE,J.Brissett,D.Maye,25,controversy,Brissett started wk 1 over rookie Maye — Maye won job
2024,1,PIT,J.Fields,R.Wilson,25,controversy,"Wilson named starter, Fields won job in-season"
2024,2,CLE,D.Watson,J.Winston,36,returning,Watson continuing
2024,2,DAL,D.Prescott,C.Rush,42,returning,Prescott continuing
2024,2,GB,M.Willis,J.Love,14,injury,"Love injured, Willis filled in"
2024,2,NE,J.Brissett,D.Maye,30,controversy,Brissett continuing
2024,2,PIT,J.Fields,R.Wilson,22,controversy,Wilson vs Fields battle ongoing
2024,3,CAR,A.Dalton,B.Young,40,benched,"Young benched early, Dalton took over"
2024,3,CLE,D.Watson,J.Winston,46,returning,Watson continuing
2024,3,DAL,D.Prescott,C.Rush,56,returning,Prescott continuing
2024,3,GB,M.Willis,J.Love,22,injury,"Love still out, Willis starting"
2024,3,MIA,S.Thompson,T.Tagovailoa,24,injury,"Tua concussion, Thompson started"
2024,3,NE,J.Brissett,D.Maye,23,controversy,Brissett continuing
2024,3,PIT,J.Fields,R.Wilson,34,controversy,Wilson vs Fields battle ongoing
2024,4,CAR,A.Dalton,B.Young,40,benched,Dalton continuing
2024,4,CLE,D.Watson,J.Winston,35,returning,Watson continuing
2024,4,DAL,D.Prescott,C.Rush,28,returning,Prescott continuing
2024,4,IND,J.Flacco,A.Richardson,28,injury,"Richardson injured, Flacco started"
2024,4,MIA,T.Huntley,T.Tagovailoa,25,injury,"Tua still out, Huntley started"
2024,4,NE,J.Brissett,D.Maye,38,controversy,Brissett continuing
2024,4,PIT,J.Fields,R.Wilson,38,controversy,Wilson vs Fields battle ongoing
2024,4,TEN,M.Rudolph,W.Levis,18,injury,"Levis injured, Rudolph started"
2024,5,CAR,A.Dalton,B.Young,31,benched,Dalton continuing
2024,5,CLE,D.Watson,J.Winston,35,returning,Watson continuing
2024,5,DAL,D.Prescott,C.Rush,44,returning,Prescott continuing
2024,5,IND,J.Flacco,A.Richardson,48,injury,"Richardson still out, Flacco starting"
2024,5,LV,A.O'Connell,G.Minshew,21,benched,"Minshew benched wk 4, O'Connell started"
2024,5,MIA,T.Huntley,T.Tagovailoa,35,injury,"Tua still out, Huntley starting"
2024,5,NE,J.Brissett,D.Maye,36,controversy,Brissett continuing
2024,5,PIT,J.Fields,R.Wilson,30,controversy,Wilson vs Fields battle ongoing
2024,6,CAR,A.Dalton,B.Young,38,benched,Dalton continuing
2024,6,CLE,D.Watson,J.Winston,28,returning,Watson continuing
2024,6,DAL,D.Prescott,C.Rush,37,returning,Prescott continuing
2024,6,IND,J.Flacco,A.Richardson,38,injury,Richardson still out
2024,6,LV,A.O'Connell,G.Minshew,42,benched,O'Connell continuing
2024,6,NO,S.Rattler,D.Carr,45,benched,"Carr benched/injured, Rattler took over"
2024,6,PIT,J.Fields,R.Wilson,28,controversy,Wilson vs Fields battle ongoing
2024,7,CAR,A.Dalton,B.Young,18,benched,Dalton continuing
2024,7,CLE,D.Thompson-Robinson,J.Winston,25,injury,"Watson injured again wk 7, Thompson-Robinson/others filled in"
2024,7,MIA,T.Huntley,T.Tagovailoa,15,injury,"Tua injured again wk 6, Huntley starting"
2024,7,NO,S.Rattler,D.Carr,41,benched,Rattler continuing
2024,7,TEN,M.Rudolph,W.Levis,43,injury,"Levis still out, Rudolph starting"
2024,7,WAS,M.Mariota,J.Daniels,24,injury,"Daniels injured wk 6, Mariota started wk 7"
2024,8,DAL,D.Prescott,C.Rush,40,injury,"Prescott injured wk 7, Rush filled in"
2024,8,NE,J.Brissett,D.Maye,26,controversy,Brissett back after Maye injured
2024,8,NO,S.Rattler,D.Carr,27,benched,Rattler continuing
2024,8,TEN,M.Rudolph,W.Levis,39,injury,Levis still out
2024,9,DAL,D.Prescott,C.Rush,27,injury,Prescott still out
2024,9,IND,J.Flacco,A.Richardson,30,injury,"Richardson injured again, Flacco started"
2024,9,LV,D.Ridder,G.Minshew,20,injury,"O'Connell injured, Ridder started"
2024,9,TEN,M.Rudolph,W.Levis,34,injury,Levis still out
2024,10,IND,J.Flacco,A.Richardson,39,injury,"Richardson still out, Flacco starting"
2024,10,JAX,M.Jones,T.Lawrence,25,benched,"Lawrence benched wk 9, Jones took over"
2024,11,JAX,M.Jones,T.Lawrence,30,benched,Jones continuing
2024,12,NYG,T.DeVito,D.Jones,35,benched,"Jones benched wk 8, DeVito/Lock started"
2024,12,SF,B.Allen,B.Purdy,31,injury,"Purdy injured, Allen started"
2024,13,JAX,M.Jones,T.Lawrence,34,benched,Jones continuing
2024,13,LV,A.O'Connell,G.Minshew,38,injury,O'Connell returned but Ridder back again
2024,13,NYG,D.Lock,D.Jones,38,benched,Lock continuing
2024,14,JAX,M.Jones,T.Lawrence,32,benched,Jones continuing
2024,14,LV,A.O'Connell,G.Minshew,20,injury,LV QB shuffle continued
2024,14,NYG,D.Lock,D.Jones,52,benched,Lock continuing
2024,15,JAX,M.Jones,T.Lawrence,49,benched,Jones continuing
2024,15,LV,D.Ridder,G.Minshew,42,injury,Ridder starting
2024,15,NO,S.Rattler,D.Carr,22,benched,Rattler continuing
2024,15,NYG,T.Boyle,D.Jones,25,benched,Boyle starting
2024,15,TEN,M.Rudolph,W.Levis,26,injury,Levis still out
2024,16,ATL,M.Penix,K.Cousins,27,returning,Penix took over after Cousins benched
2024,16,CLE,D.Thompson-Robinson,J.Winston,39,injury,"Watson still out, Thompson-Robinson starting"
2024,16,JAX,M.Jones,T.Lawrence,40,benched,Jones continuing
2024,16,LV,A.O'Connell,G.Minshew,41,injury,O'Connell back
2024,16,NO,S.Rattler,D.Carr,33,benched,Rattler continuing
2024,16,NYG,D.Lock,D.Jones,42,benched,Lock continuing
2024,16,PHI,K.Pickett,J.Hurts,27,rest,"Hurts rested, Pickett started"
2024,16,TEN,M.Rudolph,W.Levis,36,injury,Levis still out
2024,17,ATL,M.Penix,K.Cousins,37,returning,Penix continuing as new starter
2024,17,CLE,D.Thompson-Robinson,J.Winston,48,injury,Watson still out
2024,17,IND,J.Flacco,A.Richardson,41,injury,Richardson still out
2024,17,JAX,M.Jones,T.Lawrence,24,benched,Jones continuing
2024,17,LV,A.O'Connell,G.Minshew,36,injury,LV QB situation continued
2024,17,MIA,T.Huntley,T.Tagovailoa,30,injury,"Tua still out, Huntley starting"
2024,17,NO,S.Rattler,D.Carr,39,benched,Rattler continuing
2024,17,NYG,D.Lock,D.Jones,23,benched,Lock continuing
2024,17,PHI,K.Pickett,J.Hurts,15,rest,Hurts still resting
2024,17,TEN,M.Rudolph,W.Levis,34,injury,Levis still out
2024,18,ATL,M.Penix,K.Cousins,39,rest,Season finale
2024,18,BUF,M.Trubisky,J.Allen,21,rest,Season finale
2024,18,CLE,B.Zappe,J.Winston,32,rest,Season finale
2024,18,DAL,T.Lance,C.Rush,36,rest,Season finale
2024,18,GB,M.Willis,J.Love,17,rest,Season finale
2024,18,HOU,D.Mills,C.Stroud,23,rest,Season finale
2024,18,IND,J.Flacco,A.Richardson,43,rest,Season finale
2024,18,JAX,M.Jones,T.Lawrence,34,rest,Season finale
2024,18,KC,C.Wentz,P.Mahomes,21,rest,Season finale
2024,18,LA,J.Garoppolo,M.Stafford,45,rest,Season finale
2024,18,LV,A.O'Connell,G.Minshew,34,rest,Season finale
2024,18,MIA,T.Huntley,T.Tagovailoa,45,rest,Season finale
2024,18,NE,J.Milton,D.Maye,29,rest,Season finale
2024,18,NO,S.Rattler,D.Carr,44,rest,Season finale
2024,18,NYG,D.Lock,D.Jones,29,rest,Season finale
2024,18,PHI,T.McKee,J.Hurts,43,rest,Season finale
2024,18,SF,J.Dobbs,B.Purdy,45,rest,Season finale
2024,18,WAS,M.Mariota,J.Daniels,21,rest,Season finale
2025,1,ARI,K.Murray,J.Brissett,34,returning,Murray returning from injury; Brissett had been holding spot
2025,1,CLE,J.Flacco,S.Sanders,47,controversy,"Sanders named new starter, Flacco signed as bridge — Flacco had more starts"
2025,1,NO,S.Rattler,T.Shough,47,controversy,Shough named starter; Rattler won job
2025,1,NYG,R.Wilson,J.Dart,39,controversy,Dart named starter; Wilson came in as veteran bridge
2025,1,WAS,J.Daniels,M.Mariota,33,returning,Daniels returning as starter; Mariota was holding spot
2025,2,ARI,K.Murray,J.Brissett,26,returning,Murray continuing
2025,2,CIN,J.Browning,J.Burrow,33,injury,"Burrow injured, Browning started"
2025,2,CLE,J.Flacco,S.Sanders,47,controversy,Flacco continuing as starter
2025,2,NO,S.Rattler,T.Shough,37,controversy,Rattler vs Shough situation
2025,2,NYG,R.Wilson,J.Dart,44,controversy,Wilson continuing
2025,2,NYJ,T.Taylor,J.Fields,13,controversy,Taylor filling in while Fields started most games
2025,2,SF,M.Jones,B.Purdy,42,injury,"Purdy injured, M.Jones started"
2025,2,WAS,J.Daniels,M.Mariota,47,returning,Daniels continuing
2025,3,ARI,K.Murray,J.Brissett,36,returning,Murray continuing
2025,3,CIN,J.Browning,J.Burrow,30,injury,"Burrow still out, Browning starting"
2025,3,CLE,J.Flacco,S.Sanders,38,controversy,Flacco continuing
2025,3,MIN,C.Wentz,J.McCarthy,23,injury,"McCarthy injured, Wentz started"
2025,3,NO,S.Rattler,T.Shough,41,controversy,Rattler continuing
2025,3,NYG,R.Wilson,J.Dart,34,controversy,Wilson continuing
2025,3,NYJ,T.Taylor,J.Fields,40,controversy,Taylor vs Fields situation
2025,3,SF,M.Jones,B.Purdy,42,injury,"Purdy still out, Jones starting"
2025,4,ARI,K.Murray,J.Brissett,47,returning,Murray continuing
2025,4,CIN,J.Browning,J.Burrow,28,injury,Burrow still out
2025,4,CLE,J.Flacco,S.Sanders,37,controversy,Flacco continuing
